metric,development,held_out,held_out_minus_development
R2_oos,0.08091682435925429,0.0417549994436589,-0.03916182491559539
R2_oos_within_year,0.06837922203428548,0.03385899968308703,-0.03452022235119845
RMSE,0.37935564140026995,0.3699132554504074,-0.009442385949862575
MAE,0.2869409710336536,0.2787549075261988,-0.008186063507454822
