model,feature_set,RMSE,MAE,R2_oos,R2_oos_within_year,n,mean_year_RMSE,worst_year_RMSE
XGBoost,firm,0.37935564140026995,0.2869409710336536,0.08091682435925429,0.06837922203428548,220804,0.37872497216351053,0.39495997551714807
XGBoost,firm_survey_text,0.38055278302045065,0.2875583802058749,0.07510692631056037,0.06249006870901408,220804,0.3800547581925958,0.3966701621652382
XGBoost,firm_survey,0.3811763740064568,0.28782011344105324,0.07207329966050824,0.05941505907475675,220804,0.38054948417074463,0.39830696410591987
Lasso,firm,0.3840564519229201,0.2884914827790728,0.05799793837362688,0.045147689831389615,220804,0.38320573643166167,0.39873696305033696
Lasso,firm_survey_text,0.3877071588030614,0.2893237204884692,0.040004134431720906,0.026908424799436226,220804,0.3866613965215703,0.4036734744961767
Lasso,firm_survey,0.3877227873729846,0.2892482178416422,0.03992673753788001,0.026829972101831467,220804,0.3866785607485963,0.40365993532657135
Mean,benchmark,0.3957028140423927,0.29465422373050687,0.0,-0.013641422949808746,220804,0.3944141297613723,0.4123602070724892
Zero growth,benchmark,0.3996604490046007,0.2952589149131962,-0.02010309773115293,-0.034018755539713785,220804,0.39778015791408955,0.42435452482066527
Persistence,benchmark,0.5502647746037491,0.41045258216906133,-0.933771462358918,-0.9601508567652262,220804,0.5489587878878186,0.5627936343949107
