model,feature_set,RMSE,MAE,R2_oos,beats_mean_on_MAE
XGBoost,firm_survey_text,0.36864157482037585,0.27714320446709656,0.048332146815254884,True
XGBoost,firm_survey,0.36872409133255674,0.2769265469891038,0.04790605759347766,True
XGBoost,firm,0.3699132554504074,0.2787549075261988,0.0417549994436589,False
Lasso,firm,0.37116289361155624,0.2757005570865814,0.03526979175186451,True
Lasso,firm_survey,0.37279703570953726,0.2747335962882115,0.026756134998783487,True
Lasso,firm_survey_text,0.37280126193597773,0.274735739310311,0.02673406844848558,True
