sample,model,comparison,grouping,group,n,RMSE_poorer,RMSE_richer,delta_RMSE,ci_low,ci_high,mean_dMSE,p_value,n_year_clusters
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,11,5612,0.32702555531414057,0.32596396772554703,-0.0010615875885935377,-0.0013601152572731978,-0.0008759963944820481,-0.0007020079961009558,0.012495789272853532,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,22,19738,0.2983807407083228,0.2992308655014244,0.0008501247931015921,0.0007367124285813653,0.0010062160264505127,0.0005074158788811817,0.010337964277827506,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,23,80469,0.38132381380934693,0.37882231098064006,-0.002501502828706814,-0.0031956740010506413,-0.0013507991218650317,-0.0019311967195743277,0.04947578477442216,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,31,11849,0.3501315648281359,0.34946771364997736,-0.0006638511781585366,-0.0020080102284832924,8.467845783871608e-05,-0.0005295731091970063,0.3396889347426553,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,32,24302,0.3493618702536289,0.3479234631636976,-0.0014384070899313706,-0.0038001413981200716,-0.00019769556994364557,-0.001100985117376423,0.29170928869561197,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,33,65796,0.35364161261030586,0.3524743603223769,-0.001167252287928966,-0.002029326170412016,-0.0007544656479860357,-0.0008567303835583001,0.09210050251367842,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,42,67975,0.3819265671230938,0.38035386249781017,-0.0015727046252836385,-0.004060733904130254,-0.0003353941557939222,-0.0013064367759595727,0.2775812881192348,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,44,22993,0.3648778589643394,0.36274992590721356,-0.0021279330571259414,-0.004896447511237467,-0.0004657550612082173,-0.0016681995439020928,0.21891080470267868,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,45,8515,0.39490466778591793,0.3929005521035283,-0.002004115682389618,-0.003963101869656316,-0.0007301741168707632,-0.0016679867125428984,0.1503169857923389,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,48,28052,0.3800812912201412,0.37948958277538736,-0.000591708444753869,-0.0011418917373227089,-0.00013072322044788143,-0.000473707841898851,0.16358270052061383,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,51,7084,0.39378242699124144,0.3927793017538357,-0.0010031252374056998,-0.0029857121266529396,-0.00012217403223230283,-0.0008946445827613556,0.3329581301431527,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,52,6593,0.3805343823500116,0.380746367747785,0.00021198539777339542,-0.0007960411853150107,0.0006800044207850853,0.00012141987582587601,0.7682989305238724,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,53,56174,0.3407836685988639,0.3408012034968698,1.753489800593311e-05,-0.0005433823406422733,0.0002894077233957515,-8.707407283830591e-06,0.9653079536302963,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,54,65332,0.39294132795383074,0.3919321436214875,-0.0010091843323432048,-0.0023026306661853013,-0.0001454937770805076,-0.000838948618348222,0.2314417032825308,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,55,23480,0.4111246837964225,0.41053609709369915,-0.000588586702723326,-0.0010934711350429893,-0.00019905538668252287,-0.0005029311374302761,0.1390906087156661,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,56,47772,0.37952660388101295,0.37826698420291954,-0.0012596196780933488,-0.002417861335169136,-0.0007116553432602313,-0.0009971574508196772,0.13041455050709932,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,61,5468,0.36550540650620567,0.3646524856810326,-0.0008529208251729647,-0.0010184790514742859,-0.0006600975451740987,-0.0006260878126749995,0.017937722625129653,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,62,33671,0.351982026653674,0.3507804731027693,-0.0012015535509047326,-0.0026723675183451534,-0.00022743245778272803,-0.0009000611133071799,0.21402939162988333,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,71,6784,0.381011168604484,0.3800127811700228,-0.0009983874344611787,-0.0013928422793313966,-0.0005254835915181055,-0.0007758354729903385,0.05036667688528504,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,72,17853,0.37078497784981607,0.36994560752942357,-0.0008393703203924963,-0.0015682234769627823,-0.00029786969623307735,-0.0006535494583246084,0.12846225262379365,3
held-out 2020-2022,XGBoost,survey given firm,naics_2digit,81,19450,0.3704679709954949,0.3694117210555534,-0.001056249939941467,-0.0016016035063244893,-0.0006775678549778008,-0.0007979130450878449,0.0571325230287902,3
held-out 2020-2022,XGBoost,text given firm and survey,naics_2digit,11,5612,0.32596396772554703,0.3258940351834222,-6.99325421248953e-05,-0.0004326951013350344,0.0003190519426274907,-3.0869259038293764e-05,0.8456541279701373,3
held-out 2020-2022,XGBoost,text given firm and survey,naics_2digit,22,19738,0.2992308655014244,0.2990169104213981,-0.0002139550800263068,-0.0006142377101751029,0.0002975020320240551,-0.0001299156940195847,0.5038849264335891,3
held-out 2020-2022,XGBoost,text given firm and survey,naics_2digit,23,80469,0.37882231098064006,0.3786386184916309,-0.00018369248900923507,-0.0008261684655445634,0.00024065393094258036,-0.00016986123190888903,0.5438106702355908,3
held-out 2020-2022,XGBoost,text given firm and survey,naics_2digit,31,11849,0.34946771364997736,0.3494757835448785,8.069894901152619e-06,-0.00016382117837232535,0.00019824899753106973,1.5118055101773965e-05,0.853718684959595,3
held-out 2020-2022,XGBoost,text given firm and survey,naics_2digit,32,24302,0.3479234631636976,0.3481125219193118,0.00018905875561420205,-0.0003440752733408492,0.0009552862907495352,0.0001635505803896384,0.5985768124030098,3
held-out 2020-2022,XGBoost,text given firm and survey,naics_2digit,33,65796,0.3524743603223769,0.3522207402797723,-0.0002536200426045965,-0.0006126555596256411,8.227368567170767e-05,-0.00017715186323680144,0.33871353882226163,3
