sample,feature_set,specification,RMSE,MAE,R2_oos,R2_oos_within_year,n,ci_low,ci_high
development 2015-2019,firm,primary raw XGBoost,0.37935564140026995,0.2869409710336536,0.08091682435925429,0.06837922203428548,220804,,
development 2015-2019,firm,fold-fitted clipped XGBoost,0.3794155044490227,0.28699003461829664,0.08062673529238495,0.06808517573976192,220804,,
development 2015-2019,firm,clipped minus primary delta,5.986304875277293e-05,,,,220804,-3.163626413449361e-06,0.0001411277745396733
held-out 2020-2022,firm,primary raw XGBoost,0.3699132554504074,0.2787549075261988,0.0417549994436589,0.03385899968308703,630228,,
held-out 2020-2022,firm,fold-fitted clipped XGBoost,0.3699629293605556,0.2788149490682577,0.041497625741413025,0.03359950520516242,630228,,
held-out 2020-2022,firm,clipped minus primary delta,4.967391014820688e-05,,,,630228,3.6743090200352935e-05,5.684545036782618e-05
