model,feature_set,pooled_RMSE,pooled_MAE,pooled_R2_oos,n,mean_year_RMSE
ElasticNet,firm,0.3825844754493947,0.28878035199107477,0.05407340877878786,250000,0.3824945967636287
ElasticNet,firm_survey_text,0.3881314141052417,0.29411162972888816,0.026445346674612846,250000,0.3880302813468319
ElasticNet,firm_survey,0.3897849541316061,0.29586620113292533,0.018132488529257196,250000,0.3894630732332287
XGBoost,firm,0.3777827123121925,0.2858871108901433,0.07766878185135373,250000,0.3776675863571287
XGBoost,firm_survey_text,0.37963188380190416,0.28701924793234274,0.06861742667766557,250000,0.3794950512076833
XGBoost,firm_survey,0.3799413188521279,0.2874100890113484,0.06709848223991455,250000,0.37979133307731383
